Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese
STR_CfgVehicles_ZenCassetteCase0,"Cassette Case","Cassette Case","Kazetové pouzdro","Kassettenhülle","Кассетный футляр","Etui na kasetę","Kazettás tok","Custodia per cassetta","Caja de casete","Étui à cassettes","盒式磁帶盒","カセットケース"
STR_CfgVehicles_ZenCassetteCase1,"This case can hold my music collection!","This case can hold my music collection!","Do tohoto pouzdra se vejde moje hudební sbírka","Dieser Koffer bietet Platz für meine Musiksammlung","В этом футляре можно хранить мою музыкальную коллекцию","W tej walizce zmieści się moja kolekcja muzyki","Ez a tok elfér a zenei gyűjteményemben","Questa custodia può contenere la mia collezione musicale","Este estuche puede contener mi colección de música.","Cette mallette peut contenir ma collection de musique","這個盒子可以容納我的音樂收藏","このケースには私の音楽コレクションを収納できます"
STR_CfgVehicles_ZenBoombox0,"Boombox","Boombox","Boombox","Boombox","Бумбокс","Boombox","Boombox","Boombox","boombox","Boombox","音箱","ラジカセ"
STR_CfgVehicles_ZenBoombox1,"An oldschool boombox cassette player. I can use this to listen to cassettes - but I better be careful, the infected don't have a great taste in music.","An oldschool boombox cassette player. I can use this to listen to cassettes - but I better be careful, the infected don't have a great taste in music.","Oldschoolový boombox kazetový přehrávačMůžu to použít k poslechu kazet - ale raději budu opatrný, infikovaní nemají zrovna dobrý vkus.","Ein Boombox-Kassettenspieler der alten SchuleIch kann damit Kassetten anhören – aber ich bin besser vorsichtig, die Infizierten haben keinen großen Musikgeschmack.","Кассетный плеер старой школы с бумбоксом.Я могу использовать это для прослушивания кассет, но мне лучше быть осторожным, у зараженных нет хорошего музыкального вкуса..","Oldschoolowy odtwarzacz kasetowy typu boomboxMogę tego używać do słuchania kaset - ale lepiej uważaj, zarażeni nie mają zbyt dobrego gustu muzycznego.","Oldschool boombox kazettás lejátszóHasználhatom kazettahallgatásra - de jobb, ha vigyázok, a fertőzötteknek nincs nagy zenei ízlésük.","Un lettore di cassette stereo vecchio stilePosso usarlo per ascoltare le cassette, ma è meglio fare attenzione, gli infetti non hanno un grande gusto per la musica.","Un reproductor de casetes boombox de la vieja escuelaPuedo usar esto para escuchar casetes, pero será mejor que tenga cuidado, los infectados no tienen muy buen gusto musical..","Un lecteur de cassettes boombox à l'ancienneJe peux l'utiliser pour écouter des cassettes - mais je ferais mieux d'être prudent, les infectés n'ont pas beaucoup de goût en matière de musique.","老式音箱錄音機我可以用它來聽磁帶 - 但我最好小心，感染者對音樂沒有很好的品味.","昔ながらのラジカセ カセット プレーヤーこれを使ってカセットを聞くことができますが、感染者は音楽の趣味があまり良くないので注意したほうがいいです。."
STR_CfgVehicles_ZenWalkman0,"Walkman","Walkman","Walkman","Walkman","Walkman","Walkmana","Walkman","Walkman","walkman","Baladeur","隨身聽","ウォークマン"
STR_CfgVehicles_ZenWalkman1,"An old walkman cassette player. I can use this to listen to cassettes - but I better be careful, the infected don't have a great taste in music.","An old walkman cassette player. I can use this to listen to cassettes - but I better be careful, the infected don't have a great taste in music.","Starý kazeťák walkmanMůžu to použít k poslechu kazet - ale raději budu opatrný, infikovaní nemají zrovna dobrý vkus.","Ein alter Walkman-KassettenspielerIch kann damit Kassetten anhören – aber ich bin besser vorsichtig, die Infizierten haben keinen großen Musikgeschmack.","Старый кассетный плеер WalkmanЯ могу использовать это для прослушивания кассет, но мне лучше быть осторожным, у зараженных нет хорошего музыкального вкуса..","Stary odtwarzacz kasetowy walkmanMogę tego używać do słuchania kaset - ale lepiej uważaj, zarażeni nie mają zbyt dobrego gustu muzycznego.","Egy régi walkman kazettás lejátszóHasználhatom kazettahallgatásra - de jobb, ha vigyázok, a fertőzötteknek nincs nagy zenei ízlésük.","Un vecchio lettore di cassette walkmanPosso usarlo per ascoltare le cassette, ma è meglio fare attenzione, gli infetti non hanno un grande gusto per la musica.","Un viejo reproductor de casetes walkmanPuedo usar esto para escuchar casetes, pero será mejor que tenga cuidado, los infectados no tienen muy buen gusto musical..","Un vieux lecteur de cassettes walkmanJe peux l'utiliser pour écouter des cassettes - mais je ferais mieux d'être prudent, les infectés n'ont pas beaucoup de goût en musique.","一台舊隨身聽卡式錄音機我可以用它來聽磁帶 - 但我最好小心，感染者對音樂沒有很好的品味.","古いウォークマンのカセットプレーヤーこれを使ってカセットを聞くことができますが、感染者は音楽の趣味があまり良くないので注意したほうがいいです。."
STR_CfgVehicles_ZenCassette0,"Cassette","Cassette","Kazeta","Kassette","Кассета","Kaseta","Kazetta","Cassetta","Casete","Cassette","卡式磁帶","カセット"
STR_CfgVehicles_ZenCassette1,"An audio cassette... I wonder if it still works?","An audio cassette... I wonder if it still works?","Zvuková kazetaZajímalo by mě, jestli to ještě funguje.","Eine AudiokassetteIch frage mich, ob es noch funktioniert.","АудиокассетаИнтересно, оно все еще работает?.","Kaseta audioZastanawiam się, czy to nadal działa.","Egy hangkazettaKíváncsi vagyok, működik-e még.","Una cassetta audioMi chiedo se funzioni ancora.","Un casete de audioMe pregunto si todavía funciona.","Une cassette audioJe me demande si ça marche toujours.","錄音帶我想知道它是否仍然有效.","オーディオカセットまだ効くのかな."
STR_Input_CarMusicToggle,"Car Music - Toggle On/Off","Car Music - Toggle On/Off","Car Music – Zapnutí/Vypnutí","Automusik – Ein-/Ausschalten","Автомобильная музыка – включение/выключение","Muzyka samochodowa — włącz/wyłącz","Autózene – Be/Ki","Musica per auto: attiva/disattiva","Música del coche: activar/desactivar","Musique de voiture - Activer/Désactiver","汽車音樂 - 切換開/關","車の音楽 - オン/オフを切り替えます"
STR_Input_CarMusicUp,"Car Music - Volume Up","Car Music - Volume Up","Hudba do auta – zvýšení hlasitosti","Automusik – Lautstärke erhöhen","Автомобильная музыка — увеличение громкости","Muzyka samochodowa — zwiększ głośność","Autózene - Hangerő növelése","Musica per auto - Aumenta il volume","Música del coche - Subir volumen","Musique de voiture - Augmenter le volume","汽車音樂 - 音量調高","カーミュージック - ボリュームアップ"
STR_Input_CarMusicDown,"Car Music - Volume Down","Car Music - Volume Down","Hudba do auta – snížení hlasitosti","Automusik – Lautstärke verringern","Музыка в машине — уменьшить громкость","Muzyka samochodowa — zmniejszanie głośności","Autózene – Hangerő csökkentése","Musica per auto: abbassa il volume","Música del coche - Bajar volumen","Musique de voiture - Volume bas","汽車音樂 - 音量調低","カーミュージック - ボリュームダウン"
STR_ZenMusic_VolumeDown,"Turn volume down","Turn volume down","Snižte hlasitost","Drehen Sie die Lautstärke herunter","Уменьшите громкость","Zmniejsz głośność","Csökkentse a hangerőt","Abbassa il volume","Bajar el volumen","Baisser le volume","調低音量","音量を下げる"
STR_ZenMusic_VolumeUp,"Turn volume up","Turn volume up","Zvyšte hlasitost","Erhöhen Sie die Lautstärke","Увеличьте громкость","Zwiększ głośność","Tekerje fel a hangerőt","Alza il volume","subir el volumen","Augmentez le volume","調高音量","音量を上げる"
